ID	Year	Semester	Would you recommend this course to another QBIO student?
	2024	Fall	Yes, this should be required for all students
	2024	Fall	Yes, this should be required for all students
	2024	Fall	Yes, this should be required for all students
	2024	Fall	Yes, this should be required for all students
	2024	Fall	Yes, this should be required for all students
	2024	Fall	Yes, this should be required for all students
	2024	Fall	Yes, this should be required for all students
	2024	Fall	Yes, this should be required for all students
	2024	Fall	Yes, this should be required for all students
	2024	Fall	Yes, but only if they have time
	2024	Fall	Yes, but only if they have time
	2024	Fall	Yes, but only if they have time
	2024	Fall	Yes, but only if they have time
	2024	Fall	Yes, but only if they have time
	2024	Fall	Yes, but only if they have time
	2024	Fall	Yes, but only if they have time
	2024	Spring	Yes, this should be required for all students
	2024	Spring	Yes, this should be required for all students
	2024	Spring	Yes, this should be required for all students
	2024	Spring	Yes, but only if they have time
	2024	Spring	Yes, but only if they have time
	2023	Fall	Yes, this should be required for all students
	2023	Fall	Yes, this should be required for all students
	2023	Fall	Yes, this should be required for all students
	2023	Fall	Yes, this should be required for all students
	2023	Fall	Yes, this should be required for all students
	2023	Fall	Yes, this should be required for all students
	2023	Fall	Yes, but only if they have time
	2023	Fall	Yes, but only if they have time
	2023	Fall	Yes, but only if they have time
	2023	Fall	Yes, but only if they have time
	2023	Fall	Yes, but only if they have time
	2023	Fall	Yes, but only if they have time
	2023	Spring	Yes, this should be required for all students
	2023	Spring	Yes, but only if they have time
	2023	Spring	Yes, but only if they have time
	2022	Spring	Yes, this should be required for all students
	2022	Spring	Yes, this should be required for all students
	2022	Spring	Yes, this should be required for all students
	2022	Spring	Yes, this should be required for all students
	2022	Spring	Yes, this should be required for all students
	2022	Spring	Yes, this should be required for all students
	2022	Spring	Yes, but only if they have time
	2022	Spring	Yes, but only if they have time
	2022	Spring	Yes, but only if they have time
	2022	Spring	Yes, but only if they have time